course_name,topic,agency,skills_id,source_pdf
Influencing Others (2019),Influencing Others,LinkedIn Learning,,CertificateOfCompletion_Influencing Others 2019-1.pdf
Having Difficult Conversations,Interpersonal Communication Difficult Situations,LinkedIn Learning,,CertificateOfCompletion_Having Difficult Conversations-1.pdf
"Diversity, Inclusion, and Belonging",Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Diversity Inclusion and Belonging-1.pdf
Be an Inclusive Organization People Won't Leave,Organizational Culture Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Be an Inclusive Organization People Wont Leave-1.pdf
How to Find the Work You Love,Job Search Strategies Career Path Planning,LinkedIn Learning,add52ab0b155fea4bd0e4096f3065f4506f3094d11bbb13bbc6c98489861e7a8,CertificateOfCompletion_How to Find the Work You Love-1.pdf
Influencing Others (2019),Influencing Others,LinkedIn Learning,1f97a8464fa9c27cb2abe9737dda1a31737e6a8b6fcceeaa25e6bb86e3f82975,CertificateOfCompletion_Influencing Others 2019-2.pdf
Be an Inclusive Organization People Won't Leave,Organizational Culture Diversity and Inclusion,LinkedIn Learning,a18ae65196cdee382de1dfee70e969d9aad12dc66626438d8d603bddceb8290c,CertificateOfCompletion_Be an Inclusive Organization People Wont Leave-3.pdf
How to Find the Work You Love,Job Search Strategies Career Path Planning,LinkedIn Learning,add52ab0b155fea4bd0e4096f3065f4506f3094d11bbb13bbc6c98489861e7a8,CertificateOfCompletion_How to Find the Work You Love.pdf
Having Difficult Conversations,Interpersonal Communication Difficult Situations,LinkedIn Learning,4cc69490f51e1c9bd0a732a11faa1f22b34e2f7a254307033ac75bb5474192ce,CertificateOfCompletion_Having Difficult Conversations-2.pdf
"Diversity, Inclusion, and Belonging",Diversity and Inclusion,LinkedIn Learning,93f0d83e2db20f5549e52caa768ae2f06a3b8a560860f207986cf9fc1775668b,CertificateOfCompletion_Diversity Inclusion and Belonging-3.pdf
Grammarly: Your AI Writing Partner,AI Productivity Artificial Intelligence (AI) Grammarly,LinkedIn Learning,17f80df03881d044d51748b33c2620d0e99e4c826dea2a26f85ed42fd6d6e171,CertificateOfCompletion_Grammarly Your AI Writing Partner.pdf
History of Responsible AI: From Principles to Professionalization by All Tech Is Human,Artificial Intelligence (AI) Responsible AI,LinkedIn Learning,adb8caf41bdff282ac5fe590ea3e7cadf3c326cffe4cc9501bdb5a242bc751e2,CertificateOfCompletion_History of Responsible AI From Principles to Professionalization by All Tech Is Human.pdf
"Diversity, Inclusion, and Belonging",Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Diversity Inclusion and Belonging-2.pdf
Having Difficult Conversations,Interpersonal Communication Difficult Situations,LinkedIn Learning,,CertificateOfCompletion_Having Difficult Conversations.pdf
Be an Inclusive Organization People Won't Leave,Organizational Culture Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Be an Inclusive Organization People Wont Leave-2.pdf
Critical Thinking for Better Judgment and Decision-Making,Critical Thinking Decision-Making,LinkedIn Learning,,CertificateOfCompletion_Critical Thinking for Better Judgment and DecisionMaking-1.pdf
Grammar Foundations,Written Communication Grammar,LinkedIn Learning,2491bd140c124297efcd3cde8712bf23eaea7733694a2368a4673a717356f77f,CertificateOfCompletion_Grammar Foundations.pdf
Unlocking Authentic Communication in a Culturally-Diverse Workplace,Professional Communication Cross-Cultural Communication,LinkedIn Learning,47eb1febb052666265233bace10f799adf2333b577ef6c7d5cf94fdd312c1266,CertificateOfCompletion_Unlocking Authentic Communication in a CulturallyDiverse Workplace.pdf
Critical Thinking for Better Judgment and Decision-Making,Critical Thinking Decision-Making,LinkedIn Learning,150868ea1d581106d391e7a01817f4a7289fead0ca18134717ae3844080151f2,CertificateOfCompletion_Critical Thinking for Better Judgment and DecisionMaking-2.pdf
Writing Email,Email Etiquette Professional Communication,LinkedIn Learning,307f66727d60297e2160d18741c6d4307ea08cf231d5d4f6d442316d0d8eea51,CertificateOfCompletion_Writing Email-1.pdf
Inclusive Mindset,Inclusive Team Leadership Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Inclusive Mindset.pdf
The New AI Tech Stack: AI Literacy for Tech Leaders,Digital Literacy AI Literacy Artificial Intelligence (AI),LinkedIn Learning,1e292d72a007de0fc40252e91af0453ec132197a89b463dc69d5ff673065d7a5,CertificateOfCompletion_The New AI Tech Stack AI Literacy for Tech Leaders.pdf
"Diversity, Inclusion, and Belonging",Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Diversity Inclusion and Belonging-4.pdf
Be an Inclusive Organization People Won't Leave,Organizational Culture Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Be an Inclusive Organization People Wont Leave-4.pdf
Critical Thinking for Better Judgment and Decision-Making,Critical Thinking Decision-Making,LinkedIn Learning,,CertificateOfCompletion_Critical Thinking for Better Judgment and DecisionMaking.pdf
Decision-Making Strategies,Decision-Making,LinkedIn Learning,873150bd21dd5401b5e6ccaf4fde59c1566cbbc871f7ae1ebeae1be8ea863a87,CertificateOfCompletion_DecisionMaking Strategies-1.pdf
Leading Your Org on a Journey of Allyship,Allyship,LinkedIn Learning,4f80ff94b38e6edd63f6ddd019bb80379d00f04891ec946b01fc0b85f07871c4,CertificateOfCompletion_Leading Your Org on a Journey of Allyship.pdf
Communicating with Confidence,Communication Confidence Building Self-confidence,LinkedIn Learning,19f3bf999e4b522a0fff5ce03c8844d9ba6e10f5e14cb49c99f6be06ca9ff630,CertificateOfCompletion_Communicating with Confidence.pdf
How to Create Executive-Level Data Visualizations,Data Visualization Executive Presentation Skills,LinkedIn Learning,3ebccd3afb42944d9342c1800a50725e8ebd161e772a5125d42cee8d728b2609,CertificateOfCompletion_How to Create ExecutiveLevel Data Visualizations.pdf
Business Writing Principles,Business Writing,LinkedIn Learning,,CertificateOfCompletion_Business Writing Principles-1.pdf
Developing a Feedback Mindset to Accelerate Your Career,Career Development,LinkedIn Learning,189d18dbdc755b631486268b07d888ec5f8fa291d2a97d4cadfec6e65183a7f1,CertificateOfCompletion_Developing a Feedback Mindset to Accelerate Your Career.pdf
Business Writing Principles,Business Writing,LinkedIn Learning,79aa4ddb9a78d12526e16a174c53d31bac761a25c1bd00bff1fa49f699b75574,CertificateOfCompletion_Business Writing Principles-2.pdf
How to Support Colleagues from Underrepresented Groups,Workplace Relations Allyship,LinkedIn Learning,03c3cda7054517cd039fbd09f0c605c945228e5e83a97a88b0816c988829af59,CertificateOfCompletion_How to Support Colleagues from Underrepresented Groups.pdf
"Diversity, Inclusion, and Belonging",Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Diversity Inclusion and Belonging.pdf
Unconscious Bias,Unconscious Bias Awareness Training Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Unconscious Bias.pdf
Equity First: The Path to Inclusion and Belonging,Social Equity Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Equity First The Path to Inclusion and Belonging.pdf
Conflict Resolution Foundations,Conflict Resolution,LinkedIn Learning,,CertificateOfCompletion_Conflict Resolution Foundations.pdf
Introduction to Career Skills in Software Development,Software Development Career Management Tech Career Skills,LinkedIn Learning,e91032002bfdce572d0faaa420c87cd1677a749c7356a057c442f5ca41c0f245,CertificateOfCompletion_Introduction to Career Skills in Software Development.pdf
Writing Email,Email Etiquette Professional Communication,LinkedIn Learning,,CertificateOfCompletion_Writing Email.pdf
Writing Emails People Want to Read,Email Written Communication,LinkedIn Learning,2333d890702f4376d20c40b8571ac51bba50c27fb7588282eed54ec240e40763,CertificateOfCompletion_Writing Emails People Want to Read.pdf
Influencing Others (2019),Influencing Others,LinkedIn Learning,,CertificateOfCompletion_Influencing Others 2019.pdf
Be an Inclusive Organization People Won't Leave,Organizational Culture Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Be an Inclusive Organization People Wont Leave.pdf
Introduction to Career Skills in Software Development,Software Development Career Management Tech Career Skills,LinkedIn Learning,,CertificateOfCompletion_Introduction to Career Skills in Software Development-1.pdf
Writing Formal Business Letters and Emails,Business Communications,LinkedIn Learning,,CertificateOfCompletion_Writing Formal Business Letters and Emails.pdf
Designing a Presentation,Presentation Design,LinkedIn Learning,3d31b2c7a0192953f36a0383cbc3a6566904b23a22fa86b8bb93afcd4e4b1c1c,CertificateOfCompletion_Designing a Presentation.pdf
Leading Your Org on a Journey of Allyship,Allyship,LinkedIn Learning,,CertificateOfCompletion_Leading Your Org on a Journey of Allyship-1.pdf
Being Positive at Work,Positive Psychology,LinkedIn Learning,3d16ab9887a24fa34e5987afc21cc960feade8ec03f54862f70cbd8e0458525b,CertificateOfCompletion_Being Positive at Work-2.pdf
Introduction to Career Skills in Software Development,Software Development Career Management Tech Career Skills,LinkedIn Learning,,CertificateOfCompletion_Introduction to Career Skills in Software Development-2.pdf
What's the So What: Writing Clearly for a Business Audience,Business Writing,LinkedIn Learning,dc7671d69cabb96fc82d33d414ac6b6409766068712fb592da6d84686f57ceeb,CertificateOfCompletion_Whats the So What Writing Clearly for a Business Audience.pdf
